ReferenceYear,FacilityName,FacilityProvince,latitude,longitude,CO2,CH4,TotalEmissions
2022,Lieu d'enfouissement technique de Rivière-du-Loup,Quebec,47.9748,-69.43849,11.45,0.0001,11.4793
2022,Lieu d'enfouissement technique de Rivière-du-Loup,Quebec,47.9748,-69.43849,235.93,0.006,236.575
2022,Lieu d'enfouissement technique de Rivière-du-Loup,Quebec,47.9748,-69.43849,0,956.156,26772.368
2022,Division Alma,Quebec,48.565,-71.65556,38874.39,0.76,39074.545
2022,Division Alma,Quebec,48.565,-71.65556,2.681,0.000073,2.688344
2022,"Foothills Pipeline, Alberta",Alberta,,,179.9263,1.3206,217.0091
2022,"Foothills Pipeline, Alberta",Alberta,,,2.2497,93.8211,2629.2405
2022,"Foothills Pipeline, Alberta",Alberta,,,336676.3691,24.8512,339647.7842
2022,"Foothills Pipeline, Alberta",Alberta,,,8.7841,362.579,10160.9961
2022,Kingston CoGen,Ontario,44.2095,-76.7246,998.03,0.243572,1011.502841
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,12252.42,0.239,12315.292
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,1.44,89.24,2500.16
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,674087.247,14.017188,677785.4212
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,404838,,405779.015
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,4903.814,0.267,4995.295
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,5672,4189.18,122969.04
2022,Redwater Fertilizer Operations,Alberta,53.842,-113.093,0,2.17,60.76
2022,Alberta Envirofuels,Alberta,53.53199,-113.36492,3393.99024,13.00881,3793.49782
2022,Alberta Envirofuels,Alberta,53.53199,-113.36492,287.125,1.886,339.933
2022,Alberta Envirofuels,Alberta,53.53199,-113.36492,292975.0095,6.35831,294656.3766
2022,Alberta Envirofuels,Alberta,53.53199,-113.36492,356.25,0.012,364.801
2022,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,,,1.139285,101.644089,2847.173777
2022,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,,,534842.2761,43.6757,539026.2636
2022,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,,,4.351164,636.141168,17816.30387
2022,Alberta-Pacific Forest Industries Inc.,Alberta,54.92312,-112.86187,148109.65,56.6072,157150.3206
2022,Alberta-Pacific Forest Industries Inc.,Alberta,54.92312,-112.86187,0,,3.5923
2022,Alberta-Pacific Forest Industries Inc.,Alberta,54.92312,-112.86187,4008.445,0.1864,4087.3342
2022,Alberta-Pacific Forest Industries Inc.,Alberta,54.92312,-112.86187,0,132.05,3697.4
2022,Alberta-Pacific Forest Industries Inc.,Alberta,54.92312,-112.86187,0,0,129.85
2022,Rio Tinto Alcan Inc.,British Columbia,54.00286,-128.69531,43629.66,0.842396,43852.96699
2022,Rio Tinto Alcan Inc.,British Columbia,54.00286,-128.69531,229689,,368843.4
2022,Rio Tinto Alcan Inc.,British Columbia,54.00286,-128.69531,7386,1.002125,7688.97209
2022,Algoma Steel Inc,Ontario,46.5217,-84.3637,401.767132,1.2,436.220432
2022,Algoma Steel Inc,Ontario,46.5217,-84.3637,926348.84,12.739,929702.152
2022,Algoma Steel Inc,Ontario,46.5217,-84.3637,2971585.248,448.8,2984151.648
2022,Algoma Steel Inc,Ontario,46.5217,-84.3637,21396.44,3.11,21952.57
2022,Aluminerie Alouette inc.,Quebec,50.1583,-66.4416,55668.4,1.2854,55987.4112
2022,Aluminerie Alouette inc.,Quebec,50.1583,-66.4416,1006959.9,,1079524.054
2022,Aluminerie Alouette inc.,Quebec,50.1583,-66.4416,4876,0.7615,5386.141
2022,Aluminerie de Baie-Comeau,Quebec,49.2583,-68.1461,31628.792,0.123,31788.056
2022,Aluminerie de Baie-Comeau,Quebec,49.2583,-68.1461,488386,,500128.405
2022,Aluminerie de Baie-Comeau,Quebec,49.2583,-68.1461,2706.0996,0.3942,2776.24015
2022,Aluminerie de Bécancour inc.,Quebec,46.3829,-72.3874,60278,1.188,60591.899
2022,Aluminerie de Bécancour inc.,Quebec,46.3829,-72.3874,729391,,757317.772
2022,Aluminerie de Bécancour inc.,Quebec,46.3829,-72.3874,3267.7802,0.3498,3619.9546
2022,ATCO Pipelines - Transmission System,Alberta,,,1979.0519,14.1528,2388.7658
2022,ATCO Pipelines - Transmission System,Alberta,,,25.4838,1069.5126,29971.8366
2022,ATCO Pipelines - Transmission System,Alberta,,,59069.8609,280.4025,68014.9449
2022,ATCO Pipelines - Transmission System,Alberta,,,0,,26.1596
2022,ATCO Pipelines - Transmission System,Alberta,,,9.0336,371.5467,10412.3412
2022,Atikokan Generating Station,Ontario,48.8361,-91.5656,18653.86,11.89,20438.98
2022,Battle River Generating Station,Alberta,52.5647,-112.1414,873988.8199,16.7882,875697.3405
2022,Battle River Generating Station,Alberta,52.5647,-112.1414,82.2307,0.0038,82.5491
2022,Battle River Generating Station,Alberta,52.5647,-112.1414,0.0207,0.5413,15.1771
2022,Bayside Power,New Brunswick,45.2753,-66.0269,31074.5,7.8,31504.9
2022,Belledune Generating Station,New Brunswick,47.90596,-65.86347,2372492.89,20.178,2381011.054
2022,Boundary Dam Power Station,Saskatchewan,49.09606,-103.0305,0,113.965497,3191.033916
2022,Boundary Dam Power Station,Saskatchewan,49.09606,-103.0305,3680020.858,85.143663,3708824.467
2022,Resolute Forest Products - Thunder Bay Operations,Ontario,48.3486,-89.3067,192189.162,43.8108,199845.9384
2022,Resolute Forest Products - Thunder Bay Operations,Ontario,48.3486,-89.3067,780.223,,780.223
2022,Resolute Forest Products - Thunder Bay Operations,Ontario,48.3486,-89.3067,3305.86,0.76231,3339.454835
2022,Resolute Forest Products - Thunder Bay Operations,Ontario,48.3486,-89.3067,0,282.7,7915.6
2022,Brady Road Resource Management Facility,Manitoba,49.7583,-97.2004,0,20994.63,587849.64
2022,Brampton Assembly Plant,Ontario,43.7512,-79.7168,61282.12994,1.197,61597.07594
2022,Brandon Generating Station,Manitoba,49.8449,-99.8896,19199.45425,4.845441,19465.82619
2022,Brandon Generating Station,Manitoba,49.8449,-99.8896,0,,125.96
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,19267.5199,24.1346,19967.0062
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,0.3573,10.6272,297.9189
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,111054.1393,160.9922,117473.2069
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,119.4323,0.0049,119.8345
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,0.8633,37.7307,1057.3229
2022,Brazeau Gas Plant,Alberta,53.1812,-115.7625,0,0.0015,0.042
2022,Brazeau River Gas Plant,Alberta,52.94707,-115.9026,7599.77019,40.15333,8727.79728
2022,Brazeau River Gas Plant,Alberta,52.94707,-115.9026,0.64266,9.04956,254.03034
2022,Brazeau River Gas Plant,Alberta,52.94707,-115.9026,47403.30687,5.86987,47977.10148
2022,Brazeau River Gas Plant,Alberta,52.94707,-115.9026,32.274,0.002,32.33
2022,Brazeau River Gas Plant,Alberta,52.94707,-115.9026,172.94825,20.55926,748.60753
2022,Brighton Beach Power,Ontario,42.2798,-83.0946,254046.5847,67.753186,257745.1368
2022,Brighton Beach Power,Ontario,42.2798,-83.0946,2.6088,0.001501,2.672293
2022,Brock West Landfill,Ontario,43.8685,-79.10054,0,16.507,462.196
2022,Brock West Landfill,Ontario,43.8685,-79.10054,0.427,0.00002,0.42862
2022,Brock West Landfill,Ontario,43.8685,-79.10054,10.843,0.024,11.5945
2022,Brock West Landfill,Ontario,43.8685,-79.10054,0,1922.121,53821.773
2022,Brookfield Cement Plant,Nova Scotia,45.2393,-63.3347,78666.43,0.6806,78805.7438
2022,Brookfield Cement Plant,Nova Scotia,45.2393,-63.3347,105390.3695,,105390.3695
2022,Brookfield Cement Plant,Nova Scotia,45.2393,-63.3347,1173.69,0.054,1178.2495
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,18340.6144,44.5852,19628.167
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,0,13.0729,366.0412
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,302812.7099,4.783,303714.4184
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,278.9314,0.0321,285.9782
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,159241.4221,4.9332,159645.6912
2022,Burnaby Refinery,British Columbia,49.29444,-122.98888,0,74.9453,2138.0064
2022,"TransCanada Pipeline, Saskatchewan",Saskatchewan,,,10.146,552.9842,15493.7036
2022,"TransCanada Pipeline, Saskatchewan",Saskatchewan,,,1099690.026,1075.7841,1137314.157
2022,"TransCanada Pipeline, Saskatchewan",Saskatchewan,,,26.2822,1466.2324,41080.7894
2022,Cabot Canada Limited,Ontario,42.9437,-82.4153,3463.9253,0.0679,3481.806
2022,Cabot Canada Limited,Ontario,42.9437,-82.4153,229368.7,,229368.7
2022,Calgary Energy Centre,Alberta,51.18058,113.9366,0.0954,3.5436,99.3162
2022,Calgary Energy Centre,Alberta,51.18058,113.9366,762645.6407,53.0633,769054.4771
2022,Calgary Energy Centre,Alberta,51.18058,113.9366,0,,247.699
2022,Calstock Power Plant,Ontario,49.0577,-81.0302,3524.6769,9.7166,5421.5627
2022,Calstock Power Plant,Ontario,49.0577,-81.0302,0,0.3308,9.2624
2022,Canadian Fertilizers Limited,Alberta,50.09071,-110.71901,83719.0222,1.6272,84147.4293
2022,Canadian Fertilizers Limited,Alberta,50.09071,-110.71901,0,46.9464,1314.4992
2022,Canadian Fertilizers Limited,Alberta,50.09071,-110.71901,784148.946,15.2418,788161.4579
2022,Canadian Fertilizers Limited,Alberta,50.09071,-110.71901,742779.9311,,742779.9311
2022,Canadian Fertilizers Limited,Alberta,50.09071,-110.71901,1777.0261,0.2677,1791.5177
2022,Cancarb Ltd.,Alberta,50.0582,-110.7282,0,10.875,304.5
2022,Cancarb Ltd.,Alberta,50.0582,-110.7282,118126.72,1.14,118548.19
2022,Cancarb Ltd.,Alberta,50.0582,-110.7282,59226.53,,59230.102
2022,Cancarb Ltd.,Alberta,50.0582,-110.7282,42.46,0.0012,42.6261
2022,Cancarb Ltd.,Alberta,50.0582,-110.7282,0,2.31,64.68
2022,"TransCanada Pipeline, Alberta System",Alberta,,,38107.3364,228.668,44531.9029
2022,"TransCanada Pipeline, Alberta System",Alberta,,,32.4016,1802.5987,50505.1652
2022,"TransCanada Pipeline, Alberta System",Alberta,,,4581083.71,388.8326,4623013.494
2022,"TransCanada Pipeline, Alberta System",Alberta,,,142.44,8054.3138,225663.2264
2022,Cardinal Power,Ontario,44.7846,-75.3773,53514.2,11.2698,54172.0284
2022,Cariboo Pulp and Paper Company,British Columbia,52.99699,-122.48472,98822.5169,320.75023,121400.994
2022,Cariboo Pulp and Paper Company,British Columbia,52.99699,-122.48472,53,,53
2022,Cariboo Pulp and Paper Company,British Columbia,52.99699,-122.48472,2907.2937,0.14293,3025.60879
2022,Caribou North Comp Stn 11-08,Alberta,55.0473,-110.5778,0,2.0971,58.7188
2022,Caribou North Comp Stn 11-08,Alberta,55.0473,-110.5778,25633.495,42.57712,28507.07936
2022,Caribou North Comp Stn 11-08,Alberta,55.0473,-110.5778,1.42874,69.12211,1936.84782
2022,Carol Project,Newfoundland and Labrador,52.9565,-66.8936,582069.508,13.01388,584397.0166
2022,Carol Project,Newfoundland and Labrador,52.9565,-66.8936,111974.051,,111974.051
2022,Carol Project,Newfoundland and Labrador,52.9565,-66.8936,126779.79,3.35,129661.39
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,444.1,0.00863,446.37154
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,0.908,91.69,2568.228
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,346903.2261,6.8338,348714.597
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,95336,,95336
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,2286.34,0.133,2496.234
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,16735.31,365.01,26955.59
2022,Carseland Nitrogen Operations,Alberta,50.845,-113.591,0,0.152,4.256
2022,Carseland Power Plant,Alberta,50.90123,-113.39283,0.0699,4.6106,129.1667
